Category,#,PRODUCT,Size,PRICE ,Ingredients,How to use,DESCRIPTION 
,6,Rose & vannila body butter,100g,333,"Shea butter, Cocoa butter, Damask rose infused Almond Oil, Rose essential oil.","1. Apply after bathing or showering to Skin absorbs moisture best when it's slightly damp.
2. Take a small amount to Body butter is thicker and richer than regular lotion.
3. Massage into the body to Focus on dry areas such as elbows, knees, heels, hands, and feet.
4. Allow it to absorb to Wait a few minutes before dressing if it feels heavy.
5. Use daily or as needed to Especially during cold weather or if you have dry skin.

Best times to use it:
- After a shower
Before bed (for overnight hydration)
- Anytime your skin feels dry or rough","A rich, indulgent body butter that melts beautifully into the skin, leaving it feeling deeply nourished, soft and smooth. The delicate blend of rose and warm vanilla creates a comforting, elegant fragrance for a luxurious everyday body-care ritual."
,7,Tender coconut body butter,100g,333,"Coconut butter, Shea butter, Cocoa butter, Almond Oil, Geranium essential oil.","1. Apply after bathing or showering to Skin absorbs moisture best when it's slightly damp.
2. Take a small amount to Body butter is thicker and richer than regular lotion.
3. Massage into the body to Focus on dry areas such as elbows, knees, heels, hands, and feet.
4. Allow it to absorb to Wait a few minutes before dressing if it feels heavy.
5. Use daily or as needed to Especially during cold weather or if you have dry skin.

Best times to use it:
- After a shower
Before bed (for overnight hydration)
- Anytime your skin feels dry or rough","A creamy, comforting body butter that leaves the skin feeling moisturised, supple and beautifully smooth. With its fresh, tropical character, it brings a soft coconut-inspired touch to your daily body-care routine."
,8,Choco Body butter ,100g,333,"Shea butter, Cocoa butter, Jojoba Oil, Cocoa Powder Geranium essential oil.",Same as rose body butter ,"A decadent body butter with a delicious chocolate-inspired fragrance that turns everyday moisturising into a luxurious treat. It melts into the skin, leaving it feeling soft, smooth and pampered with a rich, comforting aroma."
LIP CARE ,1,Sandalwood lipbalm,10g,139,"Shea butter, Cocoa butter, jojoba oil, Olive oil, 
almond oil, rosehip oil, beeswax, sandalwood herb infused, sandalwood essential oil, vitamin e oil.","Step 1: Apply a thin, even layer of lip balm to clean, dry lips.
Step 2: Reapply throughout the day as needed, especially when your lips feel dry or chapped.
Step 3: For overnight care, apply a slightly thicker layer before bedtime to deeply nourish and soften your lips.
Special tips:
-Use it before applying lipstick so that the lips don't dry out.
-Can be applied to the cheeks as a highlighter
-Use it as often as you can to hydrate your lips.","A nourishing natural-tinted lip balm that moisturises dry lips, keeps them soft and smooth, and adds a subtle, beautiful tint while helping improve the appearance of uneven lip tone."
,2,Fruit & spice lipbalm,10g,139,"Shea butter, Cocoa butter, jojoba oil, Olive oil, 
almond oil, beeswax, clove herb infused, Fruit & spice essential oil, vitamin E oil.","Step 1: Apply a thin, even layer of lip balm to clean, dry lips.
Step 2: Reapply throughout the day as needed, especially when your lips feel dry or chapped.
Step 3: For overnight care, apply a slightly thicker layer before bedtime to deeply nourish and soften your lips.
Special tips:
-Use it before applying lipstick so that the lips don't dry out.
-Can be applied to the cheeks as a highlighter
-Use it as often as you can to hydrate your lips.","Nourishes and moisturises dry lips, helps restore softness and smoothness, and supports a naturally healthy-looking lip tone."
,3,Orange lip scrub,15g,99,"Organic Shea butter & Cocoa butter, Jojoba oil, grapeseed oil, 
orange essential oil, organic sugar, beeswax, Honey powder, Vitamin e oil.","Step 1: Take a small pinch of Lip Scrub and gently massage it onto your lips for 2 minutes.
Step 2: Wash it off and follow up with VEETREE Lip Balm.
For best results, use Twice a week.","Gently exfoliates dead skin cells, smooths dry lips and helps reveal softer, brighter-looking lips."
,4,Coffee lip scrub,15g,99,"Organic Shea butter & Cocoa butter, Jojoba oil, grapeseed oil, 
Coffee essential oil, organic sugar, Coffee bean granules, beeswax, Honey powder, Vitamin E oil.","Step 1: Take a small pinch of Lip Scrub and gently massage it onto your lips for 2 minutes.
Step 2: Wash it off and follow up with VEETREE Lip Balm.
For best results, use Twice a week.","Buffs away dry, flaky skin, smooths the lips and helps improve their overall appearance."
,5,Mango Lip Oil,10ml,149,"Mango Butter, Almond oil, Rosehip oil, 
Flaxseed oil Rich in Omega-3 fatty acids,
 Olive oil, Vitamin E oil, Saffron pure grade.","1. Apply to clean, dry lips.
2. Press or rub your lips together gently to distribute the oil evenly.
3. Reapply whenever needed to lock in moisture and help improve the appearance of dry, dull & pigmented lips.
4. Suitable for daily use.","Deeply nourishes and softens dry lips while giving them a smooth, healthy-looking finish."
EYE CARE ,1,under-eye serum,10ml,236,"Pomegranate seed oil, Almond oil, Rosehip oil, Olive oil, Castor seed oil, Nutmeg & Vit E oil, Tamanu oil, Sandalwood & Neroli E Oil.","1. Apply to clean, dry skin around the under-eye area using the roll-on applicator.
2. Gently pat with your fingertips until fully absorbed.
3. At night, apply before any serum or moisturizer.
4. Use daily for best results.","Helps hydrate and refresh the delicate under-eye area while improving the appearance of dullness, fine lines and tired-looking eyes."
,2,Earth eye cream,15g,299,"Aqua, Herbs infusion, Bakuchiol oil, 
Kashmiri Saffron, Rosehip & Almond oil, Shea butter, E wax, 
Xanthan gum, Tocopherol, neroli Oil, ECO Preservative.","Step 1: Take a pea-sized amount of Under Eye Cream & apply underneath your eye & around the brow bone.

Step 2: Gently pat as you let the cream absorb. Do not let it close to the lids.

Make this part of your daily regime to get healthy skin under your eyes.

Disclaimer - Formulations containing natural ingredients tend to change color over time. However, the product efficacy remains unchanged.","Provides nourishing hydration to the under-eye area and helps reduce the appearance of dark, tired and dull-looking eyes."
